id	code	caption	description	additionalInfo.format	additionalInfo.unit	additionalInfo.dataType	additionalInfo.conversionFactor	additionalInfo.noDataValue	additionalInfo.spatialResolution	additionalInfo.spatialExtent	additionalInfo.spatialReferenceSystem	additionalInfo.temporalResolution	additionalInfo.temporalExtent	additionalInfo.nearRealTime	additionalInfo.methodology	links.href
1	L1_AETI_A	Actual EvapoTranspiration and Interception (Annual)	The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.	Raster Dataset	mm	Int32 (32bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	-9999	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Annual	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.	See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_AETI_A
2	L1_AETI_D	Actual EvapoTranspiration and Interception (Dekadal)	The actual EvapoTranspiration and Interception (ETIa) (dekadal, in mm/day) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the average daily ETIa in a given dekad.	Raster Dataset	mm	Int16 (16bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	-9999	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Dekadal (approximately every 10 days)	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.	The calculation of the ETIa is based on the ETLook model described in Bastiaanssen et al. (2012). See the methodology of the three components (E, T and I) for further information.	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_AETI_D
3	L1_AETI_M	Actual EvapoTranspiration and Interception (Monthly)	The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given month.	Raster Dataset	mm	Int16 (16bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	-9999	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Monthly	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.	See ETIa by dekad for further information. The monthy total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each month.	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_AETI_M
4	L1_E_A	Evaporation (Annual)	The Evaporation (E) data component is the actual evaporation of the soil surface. The value of each pixel represents the total annual evaporation for that specific year.	Raster Dataset	mm	Int32 (32bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	-9999	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Annual	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.	See evaporation (E) by dekad for further information. The annual total is obtained by taking the E in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_E_A
5	L1_E_D	Evaporation (Dekadal)	The Evaporation (E) data component (dekadal, in mm/day) is the actual evaporation of the soil surface. The value of each pixel represents the average daily actual evaporation for that specific dekad.	Raster Dataset	mm	Byte (8bit Unsigned Integer)	the pixel value in the downloaded data must be multiplied by 0.1	255	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Dekadal (approximately every 10 days)	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.	The calculation of the evaporation is based on the ETLook model described in Bastiaanssen et al. (2012). It uses the Penman-Monteith equation, adapted to remote sensing input data. The Penman-Monteith equation predicts the rate of total evaporation and transpiration using commonly measured meteorological data (solar radiation, air temperature, vapour content and wind speed). It has become the FAO standard for calculating the actual and reference evapotranspiration (see FAO Irrigation and Drainage paper 56, Allen et al. 1998). The following data is used for calculating evaporation:- Daily: incoming solar radiation and weather data (temperature, humidity, wind speed and precipitation);- Dekadal: NDVI, surface albedo and soil moisture stress;- Seasonal: Land Cover;- Static: Digital Elevation Model.Data component developed through collaboration with the FRAME Consortium. More information can be found at: http://www.fao.org/in-action/remote-sensing-for-water-productivity/en/	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_E_D
6	L1_GBWP_A	Gross Biomass Water Productivity	The annual Gross Biomass Water Productivity expresses the quantity of output (total biomass production) in relation to the total volume of water consumed in the year (actual evapotranspiration). By relating biomass production to total evapotranspiration (sum of soil evaporation, canopy transpiration and interception), this indicator provides insights on the impact of vegetation development on consumptive water use and thus on water balance in a given domain. When the focus is on monitoring performance of irrigated agriculture in relation to water consumption, it is more appropriate to use transpiration alone as a denominator, as a measure of water beneficially consumed by the plant. This latter indicator, for which we use the term \"net water productivity\", provides useful information on how effectively vegetation (and particularly crops) uses water to develop its biomass (and thus yield).	Raster Dataset	kg/m³ is the ratio of kg of dry matter per cubic meter of water transpired by vegetation in one hectare	Int32 (32bit Integer)	the pixel value in the downloaded data must be multiplied by 0.001	-9999	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Annual	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.	The calculation of gross biomass water productivity (GBWP) is as follows: GBWP = TBP/ETIa Where TBP is annual Total Biomass Production in kg/ha and ETIa is annual Actual EvapoTranspiration and Interception in m³/ha.The following data is used for calculating it:- Annual TBP- Annual ETIa	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_GBWP_A
7	L1_I_A	Interception (Annual)	Interception is the process where rainfall is captured by the leaves. Part of this captured rainfall will evaporate again. The Interception (I) data component represents the evaporation of intercepted rainfall from the vegetation canopy. The value of each pixel represents the total annual interception for that specific year.	Raster Dataset	mm	Int32 (32bit Integer)	the pixel value in the downloaded data must be multiplied by 0.1	-9999	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Annual	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.	See interception (I) by dekad for further information. The annual total is obtained by taking the I in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_I_A
8	L1_I_D	Interception (Dekadal)	The Interception (I) data component (dekadal, in mm/day) represents the evaporation of intercepted rainfall from the vegetation canopy. Interception is the process where rainfall is captured by the leaves. Part of this captured rainfall will evaporate again. The value of each pixel represents the average daily evaporated interception for that specific dekad.	Raster Dataset	mm	Byte (8bit Unsigned Integer)	the pixel value in the downloaded data must be multiplied by 0.1	255	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Dekadal (approximately every 10 days)	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.	Evaporation of intercepted rainfall requires energy that is not available for transpiration or evaporation. Interception is a function of the vegetation cover and precipitation.Interception is relatively high with a small amount of precipitation, with the fraction intercepted decreasing quickly as precipitation increases. The maximum interception is determined by the LAI.The following data is used for calculating interception:- Daily: incoming solar radiation and weather data (temperature, humidity and precipitation);- Dekadal: NDVI.Data component developed through collaboration with the FRAME Consortium. More information can be found at: http://www.fao.org/in-action/remote-sensing-for-water-productivity/en/	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_I_D
9	L1_LCC_A	Land Cover Classification	This land cover dataset at continental scale is based on the Copernicus Global Land cover map. WaPOR data adds, on top of the Copernicus map, the distinction between irrigated and rainfed areas. It is published on a yearly basis.	Raster Dataset	mm	Byte (8bit Unsigned Integer)		255	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Annual	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.	Land Cover Classification makes use of the dekadal reflectance time series and seasonal phenology information from the Crop Calendar. The Level 1 land cover products were derived from the Global Land Service of Copernicus, the Earth Observation programme of the European Commission. In addition, irrigated areas are identified by applying a water deficit index that takes into consideration seasonal cumulated values of precipitation and actual evapotranspiration. The classification applied is based on the Land Cover Classification System (LCCS) that was developed by FAO. Data component developed through collaboration with the FRAME Consortium. More information can be found at: http://www.fao.org/in-action/remote-sensing-for-water-productivity/en/	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_LCC_A
10	L1_NBWP_A	Net Biomass Water Productivity	The annual Net Biomass Water Productivity expresses the quantity of output (total biomass production) in relation to the volume of water beneficially consumed (by canopy transpiration) in the year, and thus net of soil evaporation. Contrary to gross water productivity, net water productivity is particularly useful in monitoring how effectively vegetation (and, more importantly, crops) uses water to develop biomass (and thus yield).	Raster Dataset	kg/m³ is the ratio of kg of dry matter per cubic meter of water transpired by vegetation in one hectare	Int32 (32bit Integer)	the pixel value in the downloaded data must be multiplied by 0.001	-9999	250m (0.00223 degree)	Africa and Near East	EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)	from January 2009 to present	Annual	New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.	The calculation of Net Biomass Water Productivity (NBWP) is as follows: NBWP = TBP/Ta Where TBP is annual total biomass production in kgDM/ha and Ta is annual actual transpiration in m³/ha. Only areas with annual T of 100 mm or higher have been included in the computation.The following data is used for calculating it:- Annual TBP- Annual Ta	https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_NBWP_A
